Champs Local Code,C Name,C Pref Name,C Code
CH02400,Family member (not a health provider),Family member (not a health provider),CH02400
CH02401,Unattended/Self Delivery,Unattended/Self Delivery,CH02401
CH02402,Mother is alive,Mother is alive,CH02402
CH02403,Mother is deceased,Mother is deceased,CH02403
CH02404,Alive and well,Alive and well,CH02404
CH02405,Alive with health problems,Alive with health problems,CH02405
CH02406,Deceased,Deceased,CH02406
CH02407,Clinical record,Clinical record,CH02407
CH02408,Death certificate,Death certificate,CH02408
CH02409,Verbal autopsy,Verbal autopsy,CH02409
CH02410,Morning,Morning,CH02410
CH02411,Afternoon,Afternoon,CH02411
CH02412,Evening,Evening,CH02412
CH02413,A (-),A (-),CH02413
CH02414,A (+),A (+),CH02414
CH02415,AB (-),AB (-),CH02415
CH02416,AB (+),AB (+),CH02416
CH02417,B (-),B (-),CH02417
CH02418,B (+),B (+),CH02418
CH02419,O (-),O (-),CH02419
CH02420,O (+),O (+),CH02420
CH02421,Not at the same time as any other form,Not at the same time as any other form,CH02421
CH02422,At same time as Prenatal AND Day 01 forms,At same time as Prenatal AND Day 01 forms,CH02422
CH02423,At same time as Day 01 forms only,At same time as Day 01 forms only,CH02423
CH02424,Within 6 weeks of delivery,Within 6 weeks of delivery,CH02424
CH02425,6 weeks or more after delivery,6 weeks or more after delivery,CH02425
CH02426,"Died before labor (Antepartum, Undelivered)","Died before labor (Antepartum, Undelivered)",CH02426
CH02427,"Died during labor (Intrapartum, Undelivered)","Died during labor (Intrapartum, Undelivered)",CH02427
CH02428,"Died after labor (Postpartum, Delivered)","Died after labor (Postpartum, Delivered)",CH02428
CH02429,Prematurity,Prematurity,CH02429
CH02430,Asphyxia,Asphyxia,CH02430
CH02431,Sepsis,Sepsis,CH02431
CH02432,Congenital defects,Congenital defects,CH02432
CH02433,Other Cause of Death,Other Cause of Death,CH02433
CH02434,No official cause of death assigned,No official cause of death assigned,CH02434
CH02435,Home,Home,CH02435
CH02436,Hospital or Health facility,Hospital or Health facility,CH02436
CH02437,Not being treated,Not being treated,CH02437
CH02438,Very small (< 1000g),Very small (< 1000g),CH02438
CH02439,Small (1000 - 1499g),Small (1000 - 1499g),CH02439
CH02440,Small to normal (1500 - 2499g),Small to normal (1500 - 2499g),CH02440
CH02441,Normal (2500g or larger),Normal (2500g or larger),CH02441
CH02442,Ectopic pregnancy,Ectopic pregnancy,CH02442
CH02443,Miscarriage weeks (< 20 weeks),Miscarriage weeks (< 20 weeks),CH02443
CH02444,Miscarriage weeks (20 to < 28 weeks),Miscarriage weeks (20 to < 28 weeks),CH02444
CH02445,Medically terminated pregnancy,Medically terminated pregnancy,CH02445
CH02446,Stillbirth - Macerated,Stillbirth - Macerated,CH02446
CH02447,"Stillbirth - Fresh (no movement, heartbeat or gasping)","Stillbirth - Fresh (no movement, heartbeat or gasping)",CH02447
CH02448,Born alive,Born alive,CH02448
CH02449,Infection,Infection,CH02449
CH02450,Homicide,Homicide,CH02450
CH02451,Obstructed/Prolonged Labor,Obstructed/Prolonged Labor,CH02451
CH02452,Non-emergent but medically necessary caesarean section,Non-emergent but medically necessary caesarean section,CH02452
CH02453,amikacin,amikacin,CH02453
CH02454,amoxicillin + clavulanic acid,amoxicillin + clavulanic acid,CH02454
CH02455,ampicillin-cloxacillin,ampicillin-cloxacillin,CH02455
CH02456,azithromycin,azithromycin,CH02456
CH02457,cefadroxil,cefadroxil,CH02457
CH02458,cefixime,cefixime,CH02458
CH02459,cefotaxime,cefotaxime,CH02459
CH02460,cefradine/cephradine,cefradine/cephradine,CH02460
CH02461,ceftazidime,ceftazidime,CH02461
CH02462,ceftriaxone,ceftriaxone,CH02462
CH02463,cefuroxime,cefuroxime,CH02463
CH02464,cefuroxime + clavulinic acid,cefuroxime + clavulinic acid,CH02464
CH02465,chloramphenicol,chloramphenicol,CH02465
CH02466,ciprofloxacin,ciprofloxacin,CH02466
CH02467,clarithromycin,clarithromycin,CH02467
CH02468,clindamycin,clindamycin,CH02468
CH02469,cloxacillin,cloxacillin,CH02469
CH02470,colistimethate Sodium,colistimethate Sodium,CH02470
CH02471,colistin/polymixin,colistin/polymixin,CH02471
CH02472,co-trimoxazole,co-trimoxazole,CH02472
CH02473,faropenem,faropenem,CH02473
CH02474,flucloxacillin/floxacillin,flucloxacillin/floxacillin,CH02474
CH02475,fusidic acid/fusidin,fusidic acid/fusidin,CH02475
CH02476,imipenem + cilastatin,imipenem + cilastatin,CH02476
CH02477,levofloxacin,levofloxacin,CH02477
CH02478,lincomycin,lincomycin,CH02478
CH02479,meropenem,meropenem,CH02479
CH02480,moxifloxacin,moxifloxacin,CH02480
CH02481,nalidixic acid,nalidixic acid,CH02481
CH02482,nitrofurantoin,nitrofurantoin,CH02482
CH02483,norfloxacin,norfloxacin,CH02483
CH02484,oxacillin,oxacillin,CH02484
CH02485,piperacillin+tazobactam,piperacillin+tazobactam,CH02485
CH02486,spectinomycin,spectinomycin,CH02486
CH02487,sulfamethoxazole + trimethoprim,sulfamethoxazole + trimethoprim,CH02487
CH02488,tazobactam,tazobactam,CH02488
CH02489,teicoplanin,teicoplanin,CH02489
CH02490,tetracycline,tetracycline,CH02490
CH02491,vancomycin,vancomycin,CH02491
CH02492,GMS,GMS,CH02492
CH02493,L-T Gram,L-T Gram,CH02493
CH02494,Trichrome,Trichrome,CH02494
CH02495,ZN AF,ZN AF,CH02495
CH02496,Adenoviruses (0633),Adenoviruses (0633),CH02496
CH02497,Bordetella pertussis & B. bronchiseptica (1091),Bordetella pertussis & B. bronchiseptica (1091),CH02497
CH02498,Candida species (1639),Candida species (1639),CH02498
CH02499,CD20 (1689),CD20 (1689),CH02499
CH02500,CD3 (1688),CD3 (1688),CH02500
CH02501,CD45 (1690),CD45 (1690),CH02501
CH02502,Chlamydia spp. (0513),Chlamydia spp. (0513),CH02502
CH02503,Clostridium spp. (0592),Clostridium spp. (0592),CH02503
CH02504,Enterococcus spp. (1667),Enterococcus spp. (1667),CH02504
CH02505,Enteroviruses (1026),Enteroviruses (1026),CH02505
CH02506,Escherichia coli (0818),Escherichia coli (0818),CH02506
CH02507,Haemophilus spp. (1141),Haemophilus spp. (1141),CH02507
CH02508,Hepatitis B virus core antigen (1205),Hepatitis B virus core antigen (1205),CH02508
CH02509,Hepatitis B virus surface antigen (1204),Hepatitis B virus surface antigen (1204),CH02509
CH02510,Human herpesvirus 3 (VZV) (0790),Human herpesvirus 3 (VZV) (0790),CH02510
CH02511,Human herpesvirus 5 (CMV) (0441),Human herpesvirus 5 (CMV) (0441),CH02511
CH02512,Human herpesviruses 1 and 2 (HSV1/2) (0191),Human herpesviruses 1 and 2 (HSV1/2) (0191),CH02512
CH02513,Human immunodeficiency virus p24 & p55 (0516),Human immunodeficiency virus p24 & p55 (0516),CH02513
CH02514,Influenza A viruses (0186),Influenza A viruses (0186),CH02514
CH02515,Influenza B virus (0185),Influenza B virus (0185),CH02515
CH02516,Listeria monocytogenes (1587),Listeria monocytogenes (1587),CH02516
CH02517,Measles virus (0055b),Measles virus (0055b),CH02517
CH02518,"Metapneumovirus, human Anti-HMPV (1582)","Metapneumovirus, human Anti-HMPV (1582)",CH02518
CH02519,Mucormycete fungus (0679),Mucormycete fungus (0679),CH02519
CH02520,Mycobacterium species (1687),Mycobacterium species (1687),CH02520
CH02521,Neisseria meningitidis group C (0336),Neisseria meningitidis group C (0336),CH02521
CH02522,Neisseria meningitidis groups A/B/C/W/Y (0710),Neisseria meningitidis groups A/B/C/W/Y (0710),CH02522
CH02523,Parainfluenza virus types 2 & 3 (0805),Parainfluenza virus types 2 & 3 (0805),CH02523
CH02524,Plasmodium falciparum (1094),Plasmodium falciparum (1094),CH02524
CH02525,Pneumocystis jiroveci (1683),Pneumocystis jiroveci (1683),CH02525
CH02526,Pneumocystis jirovecii (1539),Pneumocystis jirovecii (1539),CH02526
CH02527,Polybacterial Ab (1479),Polybacterial Ab (1479),CH02527
CH02528,Pseudomonas aeruginosa (1033),Pseudomonas aeruginosa (1033),CH02528
CH02529,Respiratory syncytial virus (1227),Respiratory syncytial virus (1227),CH02529
CH02530,Rubella virus (1287),Rubella virus (1287),CH02530
CH02531,Salmonella Dublin Group D1 (1355),Salmonella Dublin Group D1 (1355),CH02531
CH02532,Salmonella Group D O:9 (1362),Salmonella Group D O:9 (1362),CH02532
CH02533,"Salmonella Vi, typhi (1366)","Salmonella Vi, typhi (1366)",CH02533
CH02534,Select gram-negative bacteria (1606),Select gram-negative bacteria (1606),CH02534
CH02535,Spirochaetaceae (Borrelia) (1498),Spirochaetaceae (Borrelia) (1498),CH02535
CH02536,Staphylococcus aureus (0829),Staphylococcus aureus (0829),CH02536
CH02537,Staphylococcus species (0986),Staphylococcus species (0986),CH02537
CH02538,Streptococcus agalactiae (GBS) (0518),Streptococcus agalactiae (GBS) (0518),CH02538
CH02539,Streptococcus pyogenes (GAS) (0517),Streptococcus pyogenes (GAS) (0517),CH02539
CH02540,Streptococcus species (1707),Streptococcus species (1707),CH02540
CH02541,Streptococcus spp. (non-pneumococcal) (1579),Streptococcus spp. (non-pneumococcal) (1579),CH02541
CH02542,Toxoplasma gondii (1123),Toxoplasma gondii (1123),CH02542
CH02543,Zika virus (1576),Zika virus (1576),CH02543
CH02544,16S rRNA gene (Paneubacteria),16S rRNA gene (Paneubacteria),CH02544
CH02545,A. baumannii,A. baumannii,CH02545
CH02546,Adenovirus group specific / Hexon / 96-bp,Adenovirus group specific / Hexon / 96-bp,CH02546
CH02547,Bordetella pertussis,Bordetella pertussis,CH02547
CH02548,Bordetella species,Bordetella species,CH02548
CH02549,"E coli, Salmonella, and Shigella Multiplex","E coli, Salmonella, and Shigella Multiplex",CH02549
CH02550,Enterobacteriaceae 23S rRNA gene,Enterobacteriaceae 23S rRNA gene,CH02550
CH02551,Enterovirus grp. RT-PCR,Enterovirus grp. RT-PCR,CH02551
CH02552,Escherichia coli,Escherichia coli,CH02552
CH02553,Fusobacterium,Fusobacterium,CH02553
CH02554,"Gram-negative bacteria 16S rRNA gene PCR
specific","Gram-negative bacteria 16S rRNA gene PCR
specific",CH02554
CH02555,Gram-positive bacteria 16S rRNA gene PCR,Gram-positive bacteria 16S rRNA gene PCR,CH02555
CH02556,Haemophilus influenzae P6,Haemophilus influenzae P6,CH02556
CH02557,HMPV Real-time RT-PCR,HMPV Real-time RT-PCR,CH02557
CH02558,Human parainfluenza virus (1-4),Human parainfluenza virus (1-4),CH02558
CH02559,Influenza A/Influenza B,Influenza A/Influenza B,CH02559
CH02560,Klebsiella (16S-23S),Klebsiella (16S-23S),CH02560
CH02561,Klebsiella pneumoniae (16S-23S),Klebsiella pneumoniae (16S-23S),CH02561
CH02562,Listeria,Listeria,CH02562
CH02563,Mycobacterium genus 16S rRNA,Mycobacterium genus 16S rRNA,CH02563
CH02564,Mycobacterium tuberculosis complex IS6110,Mycobacterium tuberculosis complex IS6110,CH02564
CH02565,Neisseria meningitidis group,Neisseria meningitidis group,CH02565
CH02566,Plasmodium falciparum,Plasmodium falciparum,CH02566
CH02567,Pseudomonas aeruginosa,Pseudomonas aeruginosa,CH02567
CH02568,Pseudomonas species,Pseudomonas species,CH02568
CH02569,Respiratory syncytial virus,Respiratory syncytial virus,CH02569
CH02570,Rhinovirus RT-PCR,Rhinovirus RT-PCR,CH02570
CH02571,Rickettsia species (gltA),Rickettsia species (gltA),CH02571
CH02572,Staphyloccocal species (16S),Staphyloccocal species (16S),CH02572
CH02573,Staphylococci toxin multiplex real-time,Staphylococci toxin multiplex real-time,CH02573
CH02574,Staphylococcus species,Staphylococcus species,CH02574
CH02575,Streptococcus (autolysin),Streptococcus (autolysin),CH02575
CH02576,Streptococcus (pneumolysin),Streptococcus (pneumolysin),CH02576
CH02577,Streptococcus pneumoniae (piaB),Streptococcus pneumoniae (piaB),CH02577
CH02578,Streptococcus species,Streptococcus species,CH02578
CH02579,Zika virus NS5 gene (127-bp) RT-PCR,Zika virus NS5 gene (127-bp) RT-PCR,CH02579
CH02580,Peds,Peds (CPL case type),CH02580
CH02581,Hepatocellular necrosis,Hepatocellular necrosis,CH02581
CH02582,Inadequate,Inadequate,CH02582
CH02583,Intravascular leukocytosis,Intravascular leukocytosis,CH02583
CH02584,Special Stains,Special Stains,CH02584
CH02585,IHC,IHC,CH02585
CH02586,PCR,PCR,CH02586
CH02587,Non-contributory,Non-contributory,CH02587
CH02588,Immunoreactive,Immunoreactive,CH02588
CH02589,Not Reviewed,Not Reviewed,CH02589
CH02590,Right Kidney,Right Kidney,CH02590
CH02591,Left Kidney,Left Kidney,CH02591
CH02592,Other CDC CPL Test Type (SS),Other CDC CPL Test Type (SS),CH02592
CH02593,Other CDC CPL Test Type (IHC),Other CDC CPL Test Type (IHC),CH02593
CH02594,Other CDC CPL Test Type (PCR),Other CDC CPL Test Type (PCR),CH02594
CH02595,Antimicrobial Susceptibility Testing (AST) - Generic,Antimicrobial Susceptibility Testing (AST) - Generic,CH02595
CH02596,Isoelectric focusing (IEF),IEF,CH02596
CH02597,Analysis using polymerase chain reaction technique,PCR,CH02597
CH02598,Agar Dilution Assay,Agar Dilution Assay,CH02583
CH02599,BD Phoenix,BD Phoenix,CH02584
CH02600,Broth Dilution Assay,Broth Dilution Assay,CH02585
CH02601,Disk Diffusion,Disk Diffusion,CH02586
CH02602,E-test,E-test,CH02587
CH02603,MicroScan WalkAway,MicroScan WalkAway,CH02588
CH02604,Sensititire,Sensititire,CH02589
CH02605,Vitek-1/Vitek-2,Vitek-1/Vitek-2,CH02605
CH02606,SickleScan,SickleScan,CH02606
CH02607,Gazelle,Gazelle,CH02607
CH02608,Sickle Cell - Invalid,Sickle Cell - Invalid,CH02608
CH02609,Sickle Cell - Normal (HbAA),Sickle Cell - Normal (HbAA),CH02609
CH02610,Sickle Cell - Carrier (HbAS),Sickle Cell - Carrier (HbAS),CH02610
CH02611,Sickle Cell - Carrier (HbAC),Sickle Cell - Carrier (HbAC),CH02611
CH02612,Sickle Cell - Carrier (HbAE),Sickle Cell - Carrier (HbAE),CH02612
CH02613,Sickle Cell - HbSS Disease (HbSS),Sickle Cell - HbSS Disease (HbSS),CH02613
CH02614,Sickle Cell - HbSC Disease (HbSC),Sickle Cell - HbSC Disease (HbSC),CH02614
CH02615,Sickle Cell - HbSF,Sickle Cell - HbSF,CH02615
CH02616,Sickle Cell - HbSBeta-thal,Sickle Cell - HbSBeta-thal,CH02616
CH02617,Sickle Cell - Other,Sickle Cell - Other,CH02617
CH02618,Streptococcus spp. (non-pyogenic) (0436),Streptococcus spp. (non-pyogenic) (0436),CH02618
CH02619,Hararghe Health Research Laboratory Freezer Room,Hararghe Health Research Laboratory Freezer Room,CH02619
CH02620,-80C,-80C,CH02620
CH02621,-20C,-20C,CH02621
CH02622,Ambient,Ambient,CH02622
CH02623,Sweden,Sweden,SE
CH02624,Djibouti,Djibouti,DJ
CH02625,Eritrea,Eritrea,ER
CH02626,Saudi Arabia,Saudi Arabia,SA
CH02627,Somalia,Somalia,SO
CH02628,South Sudan,South Sudan,SS
CH02629,Sudan,Sudan,SD
CH02630,Uganda,Uganda,UG
CH02631,United States of America,United States of America,US
CH02632,Yemen,Yemen,YE
CH02633,Jegula Hospital,Jegula Hospital,CH02633
CH02634,Amir Nur Health Center,Amir Nur Health Center,CH02634
CH02635,Abadir Health Center,Abadir Health Center,CH02635
CH02636,Shenkor Health Center,Shenkor Health Center,CH02636
CH02637,Aboker Health Center,Aboker Health Center,CH02637
CH02638,Jinela Health Center,Jinela Health Center,CH02638
CH02639,Hakim Health Center,Hakim Health Center,CH02639
CH02640,Harar General Hospital,Harar General Hospital,CH02640
CH02641,Yimaj Hospital,Yimaj Hospital,CH02641
CH02642,Federal Police Hospital,Federal Police Hospital,CH02642
CH02643,Army Hospital,Army Hospital,CH02643
CH02644,Marry Clinic,Marry Clinic,CH02644
CH02645,Yabeta Selama Health Center,Yabeta Selama Health Center,CH02645
CH02646,Finkile Health Center,Finkile Health Center,CH02646
CH02647,Damota Health Center,Damota Health Center,CH02647
CH02648,Adele Weltaha Health Cetner,Adele Weltaha Health Cetner,CH02648
CH02649,Sherif Kalid Health Center,Sherif Kalid Health Center,CH02649
CH02650,Ugaz Health Center,Ugaz Health Center,CH02650
CH02651,Karodada Health Ceneter,Karodada Health Ceneter,CH02651
CH02652,Bala bekelcha Health Center,Bala bekelcha Health Center,CH02652
CH02653,Damota Health Center,Damota Health Center,CH02653
CH02654,Awumara Health Ceneter,Awumara Health Ceneter,CH02654
CH02655,Kersa Town,Kersa Town,CH02655
CH02656,Meteqoma,Meteqoma,CH02656
CH02657,Yabeta Lencha,Yabeta Lencha,CH02657
CH02658,Ifa Jalela,Ifa Jalela,CH02658
CH02659,Mede Oda,Mede Oda,CH02659
CH02660,Weter town,Weter town,CH02660
CH02661,Handhura Kossum,Handhura Kossum,CH02661
CH02662,Tolla,Tolla,CH02662
CH02663,Gola Belina,Gola Belina,CH02663
CH02664,Bereka,Bereka,CH02664
CH02665,Welteha Bilisuma,Welteha Bilisuma,CH02665
CH02666,Adele Key Key,Adele Key Key,CH02666
CH02667,Lange Town,Lange Town,CH02667
CH02668,Bela Lange,Bela Lange,CH02668
CH02669,Harro Arba,Harro Arba,CH02669
CH02670,Sodu,Sodu,CH02670
CH02671,Jeba Weter,Jeba Weter,CH02671
CH02672,Rameta,Rameta,CH02672
CH02673,Burka Weter,Burka Weter,CH02673
CH02674,Gole Wachu,Gole Wachu,CH02674
CH02675,Lencha Wajira,Lencha Wajira,CH02675
CH02676,Belina,Belina,CH02676
CH02677,Gale Mirga,Gale Mirga,CH02677
CH02678,Dolu Selama,Dolu Selama,CH02678
CH02679,Amuma,Amuma,CH02679
CH02680,Keransa,Keransa,CH02680
CH02681,Kuro,Kuro,CH02681
CH02682,Finkille,Finkille,CH02682
CH02683,Bachake,Bachake,CH02683
CH02684,Damota,Damota,CH02684
CH02685,Biftu Goda,Biftu Goda,CH02685
CH02686,Ifa Haramaya,Ifa Haramaya,CH02686
CH02687,Adale walecha,Adale walecha,CH02687
CH02688,Gobe Chala,Gobe Chala,CH02688
CH02689,Negaya,Negaya,CH02689
CH02690,Fendishe Lenche,Fendishe Lenche,CH02690
CH02691,Kebele 1,Kebele 1,CH02691
CH02692,Kebele 2,Kebele 2,CH02692
CH02693,Kebele 4,Kebele 4,CH02693
CH02694,Kebele 5,Kebele 5,CH02694
CH02695,Kebele 8,Kebele 8,CH02695
CH02696,Kebele10,Kebele10,CH02696
CH02697,Kebele 12,Kebele 12,CH02697
CH02698,Kebele13,Kebele13,CH02698
CH02699,Kebele15,Kebele15,CH02699
CH02700,Kebele16,Kebele16,CH02700
CH02701,Kebele17,Kebele17,CH02701
CH02702,Kebele18,Kebele18,CH02702
CH02703,Centre Iranien,Centre Iranien,CH02702
CH02704,Maternité de Hamdallaye,Maternité de Hamdallaye,CH02703
CH02705,Djicoroni,Djicoroni,CH02704
CH02706,Banconi,Banconi,CH02705
CH02707,Bamako City (excluding the DSS),Bamako City (excluding the DSS),CH02706
CH02708,Senegal,Republic of Senegal,SN
CH02709,Guinea-Bissau,Republic of Guinea-Bissau,GW
CH02710,Guinea,Republic of Guinea,GN
CH02711,Liberia,Republic of Liberia,LR
CH02712,Cote d'Ivoire,Republic of Côte d'Ivoire,CI
CH02713,Ghana,Republic of Ghana,GH
CH02714,Togo,Togolese Republic,TG
CH02715,Benin,Republic of Benin,BJ
CH02716,Burkina Faso,Burkina Faso,BF
CH02717,Niger,Republic of the Niger,NE
CH02718,Nigeria,Federal Republic of Nigeria,NG
CH02719,Mauritania,Islamic Republic of Mauritania,MR
CH02720,Algeria,People's Democratic Republic of Algeria,DZ
CH02721,Angola,Republic of Angola,AO
CH02722,Congo,Democratic Republic of the Congo,CD
CH02723,Gambia,Republic of the Gambia,GM
CH02724,France,French Republic,FR
CH02725,High Performance Liquid Chromatography,HLPC,75890000
CH02726,Klebsiella (1604),Klebsiella (1604),CH02726
CH02727,Polyfungal (1484),Polyfungal (1484),CH02727
CH02728,Mycobacterium spp. (0440),Mycobacterium spp. (0440),CH02728
CH02729,Plasmodium spp. (1152),Plasmodium spp. (1152),CH02729
CH02730,Ifa Oromia Health Center,Ifa Oromia Health Center,CH02730
CH02731,"Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, COVID19)","Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, COVID19)",COV2_1
CH02732,Influenza A,Influenza A,FLUA_2
CH02733,MERS coronavirus,MERS coronavirus,MERS_1
CH02734,Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-1),Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-1),SARS_1
CH02735,Ureaplasma parvum,Ureaplasma parvum,URPA_1
CH02736,Ureaplasma urealyticum,Ureaplasma urealyticum,URUR_1
CH02737,Respiratory TAC V3,Respiratory TAC V3,CH02737
CH02738,Central Nervous System,Central Nervous System,CH02738
CH02739,Bo-Government Hospital,Bo-Government Hospital,CH02739
CH02740,Bo-Agape CHC,Bo-Agape CHC,CH02740
CH02741,Bo-Child Resue Center,Bo-Child Resue Center,CH02741
CH02742,Bo-Children Hospital,Bo-Children Hospital,CH02742
CH02743,Bo-Favour MCHP,Bo-Favour MCHP,CH02743
CH02744,Bo-Gender MCHP,Bo-Gender MCHP,CH02744
CH02745,Bo-Gila's Hospital,Bo-Gila's Hospital,CH02745
CH02746,Bo-Haikel CHC,Bo-Haikel CHC,CH02746
CH02747,Bo-Kindoya Hospital,Bo-Kindoya Hospital,CH02747
CH02748,Bo-Lewadu CHC,Bo-Lewadu CHC,CH02748
CH02749,Bo-M. M. Maternity MCHP,Bo-M. M. Maternity MCHP,CH02749
CH02750,Bo-MCH (Kakua) Static,Bo-MCH (Kakua) Static,CH02750
CH02751,Bo-Mercy Hospital,Bo-Mercy Hospital,CH02751
CH02752,Bo-Needy CHC,Bo-Needy CHC,CH02752
CH02753,Bo-New Police Barracks CHC,Bo-New Police Barracks CHC,CH02753
CH02754,Bo-Praise Foundation CHC,Bo-Praise Foundation CHC,CH02754
CH02755,Bo-Simbo Town CHP,Bo-Simbo Town CHP,CH02755
CH02756,Bo-SLRCS (Bo) Clinic CHC,Bo-SLRCS (Bo) Clinic CHC,CH02756
CH02757,Bo-Tikonko CHC,Bo-Tikonko CHC,CH02757
CH02758,Bo-UNIMUS MCHP,Bo-UNIMUS MCHP,CH02758
CH02759,Bo-Yemmu Town CHC,Bo-Yemmu Town CHC,CH02759
CH02760,Bo-Zaion (Bendawa) CHC,Bo-Zaion (Bendawa) CHC,CH02760
CH02761,Vai,Vai,CH02761
CH02762,Kissi,Kissi,CH02762
CH02763,Data lost or not in expected location,Data lost or not in expected location,CH02763
CH02764,Records damaged,Records damaged,CH02764
CH02765,Records illegible,Records illegible,CH02765
CH02766,Discordant records/cannot confirm identity,Discordant records/cannot confirm identity,CH02766
CH02767,Could not obtain permission from facility to review records,Could not obtain permission from facility to review records,CH02767
CH02768,Data in offsite location,Data in offsite location,CH02768
CH02769,Data in locked location,Data in locked location,CH02769
CH02770,Records under review by another entity,Records under review by another entity,CH02770
CH02771,Deciding to seek care,Deciding to seek care,CH02771
CH02772,Reaching the facility,Reaching the facility,CH02772
CH02773,Abstracted,Abstracted,CH02773
CH02774,Composed by abstractor,Composed by abstractor,CH02774
CH02775,Composed from interview or other,Composed from interview or other,CH02775
CH02776,Unavailable,Unavailable,CH02776
CH02777,Room air,Room air,CH02777
CH02778,Oxygen and/or ventilation,Oxygen and/or ventilation,CH02778
CH02779,Unconscious,Unconscious,CH02779
CH02780,Exclusively,Exclusively,CH02780
CH02781,Partially,Partially,CH02781
CH02782,Never,Never,CH02782
CH02783,One or more missing vaccines,One or more missing vaccines,CH02783
CH02784,Documented/Recorded,Documented/Recorded,CH02784
CH02785,Neural tube defects,Neural tube defects,CH02785
CH02786,Abdominal wall defects,Abdominal wall defects,CH02786
CH02787,Facial dysmorphisms,Facial dysmorphisms,CH02787
CH02788,< 24 hours of life,< 24 hours of life,CH02788
CH02789,24-48 hours of life,24-48 hours of life,CH02789
CH02790,>48 hours of life,>48 hours of life,CH02790
CH02791,Nevirapine,Nevirapine,CH02791
CH02792,Zidovudine (AZT),Zidovudine (AZT),CH02792
CH02793,Discharged home with kangaroo care,Discharged home with kangaroo care,CH02793
CH02794,Neonatal death prior to admission,Neonatal death prior to admission,CH02794
CH02795,On an ongoing basis for chronic illness,On an ongoing basis for chronic illness,CH02795
CH02796,For acute illness as an outpatient (Prior to admission),For acute illness as an outpatient (Prior to admission),CH02796
CH02797,In transport,In transport,CH02797
CH02798,During hospitalization (including Emergency Room),During hospitalization (including Emergency Room),CH02798
CH02799,Both prior to admission and during hospitalization,Both prior to admission and during hospitalization,CH02799
CH02800,HIV prophylaxis,HIV prophylaxis,CH02800
CH02801,PCP prophylaxis,PCP prophylaxis,CH02801
CH02802,TB Prophylaxis,TB Prophylaxis,CH02802
CH02803,Latent TB,Latent TB,CH02803
CH02804,Active TB,Active TB,CH02804
CH02805,Syphilis,Syphilis,CH02805
CH02806,Other acute infection,Other acute infection,CH02806
CH02807,Oral by Nasogastric Tube,Oral by Nasogastric Tube,CH02807
CH02808,Topical (top),Topical (top),CH02808
CH02809,Inhalation,Inhalation,CH02809
CH02810,Ocular,Ocular,CH02810
CH02811,Tetanus toxoid (TT),Tetanus toxoid (TT),CH02811
CH02812,Pentavalent (DTP-HiB-HepB),Pentavalent (DTP-HiB-HepB),CH02812
CH02813,Hexavalent (DTaP-HiB-HepB-IPV),Hexavalent (DTaP-HiB-HepB-IPV),CH02813
CH02814,Pneumoccoccal conjugate,Pneumoccoccal conjugate,CH02814
CH02815,Measles and Rubella,Measles and Rubella,CH02815
CH02816,Meningococcal A,Meningococcal A,CH02816
CH02817,>4,>4,CH02817
CH02818,3 or more shots,3 or more shots,CH02818
CH02819,Trace,Trace,CH02819
CH02820,Disseminated,Disseminated,CH02820
CH02821,Rapid Syphilis Test (RST),Rapid Syphilis Test (RST),CH02821
CH02822,Wassermann Test,Wassermann Test,CH02822
CH02823,Hepatitis B with D co-infection,Hepatitis B with D co-infection,CH02823
CH02824,Diabetes prior to pregnancy,Diabetes prior to pregnancy,CH02824
CH02825,Gestational diabetes,Gestational diabetes,CH02825
CH02826,Insulin started prior to case pregnancy,Insulin started prior to case pregnancy,CH02826
CH02827,Insulin started during the case pregnancy,Insulin started during the case pregnancy,CH02827
CH02828,No insulin,No insulin,CH02828
CH02829,Present and then absent,Present and then absent,CH02829
CH02830,Spontaneous vaginal delivery,Spontaneous vaginal delivery,CH02830
CH02831,Forceps-assisted vaginal delivery,Forceps-assisted vaginal delivery,CH02831
CH02832,Vacuum-assisted vaginal delivery,Vacuum-assisted vaginal delivery,CH02832
CH02833,Unknown type of Caesarean section,Unknown type of Caesarean section,CH02833
CH02834,Failure to progress in labor,Failure to progress in labor,CH02834
CH02835,Fetal malpresentation,Fetal malpresentation,CH02835
CH02836,Multiple gestation,Multiple gestation,CH02836
CH02837,Fetal distress,Fetal distress,CH02837
CH02838,Severe maternal hypertension (including eclampsia),Severe maternal hypertension (including eclampsia),CH02838
CH02839,Maternal infection,Maternal infection,CH02839
CH02840,Maternal hemorrhage,Maternal hemorrhage,CH02840
CH02841,Amniotic fluid,Amniotic fluid,CH02841
CH02842,Other body fluid,Other body fluid,CH02842
CH02843,Placental abruption,Placental abruption,CH02843
CH02844,Placenta previa,Placenta previa,CH02844
CH02845,Uterine atony,Uterine atony,CH02845
CH02846,Retained placenta,Retained placenta,CH02846
CH02847,Uterine rupture,Uterine rupture,CH02847
CH02848,Cervical/vaginal laceration,Cervical/vaginal laceration,CH02848
CH02849,Maternal death during labor,Maternal death during labor,CH02849
